Email,First Name,Last Name,Plan,Source,Seats,Created At,Trial Ends At,Canceled At,Trial Converted,Active Subscription,Legacy Plan,Latitude,Longitude,Country
leannon-clay@gmail.example,Clay,Leannon,Basic,Twitter,8,2020-09-29T03:34:24,2020-10-13T12:00:00,,TRUE,TRUE,FALSE,-2.85,33.08333,TZ
brennan-olson@hotmail.example,Brennan,Olson,Basic,Google,5,2020-10-01T11:10:36,2020-10-15T12:00:00,2020-10-14T20:00:30,FALSE,FALSE,FALSE,23.28865,71.91854,IN
reinger.jude@yahoo.example,Jude,Reinger,Basic,,1,2020-10-01T14:05:30,2020-10-16T12:00:00,2020-10-01T15:43:40,FALSE,FALSE,FALSE,17.7,83.21667,IN
connell.lisette.o@yahoo.example,Lisette,O'Connell,Basic,Facebook,85,2020-10-01T21:33:52,2020-10-16T12:00:00,,TRUE,TRUE,FALSE,46.6,24.65,RO
feeney-manuel@yahoo.example,Manuel,Feeney,Basic,Invite,1,2020-10-05T15:50:37,2020-10-20T12:00:00,2020-11-19T20:00:21,TRUE,FALSE,FALSE,-21.50287,-44.16154,BR
dayne.strosin@hotmail.example,Dayne,Strosin,Basic,,1,2020-10-06T05:53:39,2020-10-20T12:00:00,2020-10-31T13:01:33,FALSE,FALSE,FALSE,18.02926,-77.1854,JM
benjamin.collier@hotmail.example,Benjamin,Collier,Basic,,8,2020-10-06T15:07:09,2020-10-21T12:00:00,2022-04-22T10:46:58,TRUE,FALSE,FALSE,45.59587,9.07574,IT
johnathan-kris@hotmail.example,Johnathan,Kris,Basic,Facebook,3,2020-10-08T13:07:20,2020-10-23T12:00:00,2020-10-22T20:00:34,FALSE,FALSE,FALSE,31.639,77.34055,IN
una.williamson@hotmail.example,Una,Williamson,Basic,Twitter,3,2020-10-14T11:55:58,2020-10-28T12:00:00,2020-10-27T20:00:42,FALSE,FALSE,FALSE,19.67638889,-103.25,MX
jennyfer-gislason@hotmail.example,Jennyfer,Gislason,Basic,Facebook,12,2020-10-15T23:18:14,2020-10-30T12:00:00,2020-11-10T13:00:56,FALSE,FALSE,FALSE,38.71666667,-9.13444444,PT
bernier.randi@gmail.example,Randi,Bernier,Basic,Facebook,3,2020-10-16T20:32:06,2020-10-31T12:00:00,2020-10-30T20:00:51,FALSE,FALSE,FALSE,49.91222,9.13694,DE
renner.janis@hotmail.example,Janis,Renner,Basic,Google,3,2020-10-19T18:58:01,2020-11-03T12:00:00,2020-11-02T20:00:45,FALSE,FALSE,FALSE,45.89393,3.09512,FR
alanis.kovacek@yahoo.example,Alanis,Kovacek,Premium,Facebook,16,2020-10-22T13:25:12,2020-11-06T12:00:00,2020-11-05T20:00:46,FALSE,FALSE,FALSE,38.03183,13.44795,IT
greyson.boyle@gmail.example,Greyson,Boyle,Basic,Google,3,2020-10-22T13:41:39,2020-11-06T12:00:00,2020-11-05T20:00:47,FALSE,FALSE,FALSE,47.41911,26.8979,RO
deontae.hansen@hotmail.example,Deontae,Hansen,Basic,Invite,5,2020-10-26T16:10:26,2020-11-10T12:00:00,2020-12-09T20:00:32,TRUE,FALSE,FALSE,51.0479,0.51095,GB
heaney.hayley@hotmail.example,Hayley,Heaney,Basic,Twitter,3,2020-10-29T08:44:10,2020-11-12T12:00:00,2020-12-11T20:00:31,TRUE,FALSE,FALSE,43.86083,21.40778,RS
reinger.paula@hotmail.example,Paula,Reinger,Basic,Google,25,2020-10-31T13:51:32,2020-11-15T12:00:00,,TRUE,TRUE,FALSE,46.606373,24.737173,RO
rau.arnaldo@hotmail.example,Arnaldo,Rau,Basic,Google,120,2020-11-02T06:16:45,2020-11-16T12:00:00,,TRUE,TRUE,FALSE,46.263403,24.34119,RO
emanuel.schmeler@yahoo.example,Emanuel,Schmeler,Basic,Facebook,5,2020-11-02T10:30:49,2020-11-16T12:00:00,2020-11-15T20:00:53,FALSE,FALSE,FALSE,13.77746,-60.90493,LC
kihn.alfred@yahoo.example,Alfred,Kihn,Basic,,3,2020-11-03T11:09:05,2020-11-17T12:00:00,2020-12-17T18:20:35,TRUE,FALSE,FALSE,34.7994,47.8694,IR
cronin-cassidy@gmail.example,Cassidy,Cronin,Basic,Google,8,2020-11-04T10:01:52,2020-11-18T12:00:00,2020-11-17T20:00:57,FALSE,FALSE,FALSE,48.07086,1.33783,FR
kihn-kirsten@yahoo.example,Kirsten,Kihn,Basic,Invite,23,2020-11-04T14:48:32,2020-11-19T12:00:00,,TRUE,TRUE,FALSE,9.82861,118.73194,PH
wehner-jaunita@yahoo.example,Jaunita,Wehner,Basic,Google,3,2020-11-05T21:06:26,2020-11-20T12:00:00,2021-06-19T20:02:30,TRUE,FALSE,FALSE,9.9085,123.0896,PH
raynor-florence@hotmail.example,Florence,Raynor,Basic,Google,5,2020-11-07T02:39:22,2020-11-21T12:00:00,2021-01-20T20:00:44,TRUE,FALSE,FALSE,50.05204,28.11745,UA
rau.jettie@yahoo.example,Jettie,Rau,Basic,,3,2020-11-11T15:40:47,2020-11-26T12:00:00,2020-11-25T20:01:13,FALSE,FALSE,FALSE,-23.33933,150.50493,AU
bernhard.bailey@yahoo.example,Bernhard,Bailey,Basic,Twitter,5,2020-11-12T20:27:25,2020-11-27T12:00:00,2020-11-26T20:01:06,FALSE,FALSE,FALSE,41.02343,-74.06653,US
conn-gideon@yahoo.example,Gideon,Conn,Basic,Twitter,3,2020-11-13T22:39:06,2020-11-28T12:00:00,2022-04-04T13:07:41,TRUE,FALSE,FALSE,43.06636,-92.67241,US
kuhn-marcelina@gmail.example,Marcelina,Kuhn,Basic,Facebook,21,2020-11-17T18:52:35,2020-12-02T12:00:00,,TRUE,TRUE,FALSE,43.86667,24.45,RO
johns-myrtle@yahoo.example,Myrtle,Johns,Basic,Facebook,30,2020-11-18T14:04:14,2020-12-03T12:00:00,,TRUE,TRUE,FALSE,57.70039,11.76136,SE
marjory.bogisich@yahoo.example,Marjory,Bogisich,Basic,Twitter,5,2020-11-18T17:10:22,2020-12-03T12:00:00,2020-12-02T20:01:08,FALSE,FALSE,FALSE,-22.00732,-46.12468,BR
floyd.jacobson@gmail.example,Floyd,Jacobson,Basic,,3,2020-11-19T19:28:38,2020-12-04T12:00:00,2020-12-15T13:02:36,FALSE,FALSE,FALSE,46.46667,27.25,RO
gunner.graham@gmail.example,Gunner,Graham,Basic,Google,49,2020-11-23T01:33:58,2020-12-07T12:00:00,,TRUE,TRUE,FALSE,15.45695,-92.27987,MX
grant.antwan@hotmail.example,Antwan,Grant,Basic,Invite,3,2020-11-24T13:55:27,2020-12-09T12:00:00,2020-12-08T20:01:09,FALSE,FALSE,FALSE,52.80178,18.0853,PL
ryan-o-keefe@gmail.example,Ryan,O'Keefe,Basic,,52,2020-11-26T15:01:26,2020-12-11T12:00:00,,TRUE,TRUE,FALSE,46.2068,-119.76892,US
leanne-orn@gmail.example,Leanne,Orn,Basic,Invite,3,2020-11-26T20:34:23,2020-12-11T12:00:00,2020-12-22T13:02:06,FALSE,FALSE,FALSE,51.73187,20.85154,PL
bednar-maeve@hotmail.example,Maeve,Bednar,Basic,Facebook,8,2020-11-30T18:11:54,2020-12-15T12:00:00,,TRUE,TRUE,FALSE,19.75,74.63333333,IN
brant.klein@yahoo.example,Brant,Klein,Basic,Google,3,2020-12-01T07:26:57,2020-12-15T12:00:00,2020-12-15T00:37:12,FALSE,FALSE,FALSE,14,-86.43333,HN
jannie-balistreri@yahoo.example,Jannie,Balistreri,Basic,Google,16,2020-12-01T17:30:54,2020-12-16T12:00:00,2020-12-15T20:01:14,FALSE,FALSE,FALSE,46.67453,-0.14912,FR
donny.terry@yahoo.example,Donny,Terry,Basic,Twitter,3,2020-12-02T08:14:07,2020-12-16T12:00:00,2020-12-15T20:01:15,FALSE,FALSE,FALSE,47.55707,20.71949,HU
crona.neal@hotmail.example,Neal,Crona,Basic,,3,2020-12-02T15:09:24,2020-12-17T12:00:00,2020-12-16T20:01:14,FALSE,FALSE,FALSE,46.28891,27.49249,RO
kihn-prudence@gmail.example,Prudence,Kihn,Basic,,1,2020-12-02T16:32:48,2020-12-17T12:00:00,2020-12-16T20:01:15,FALSE,FALSE,FALSE,43.93487,28.53132,RO
spencer.solon@yahoo.example,Solon,Spencer,Premium,Facebook,16,2020-12-03T10:54:56,2020-12-17T12:00:00,2020-12-28T13:00:58,FALSE,FALSE,FALSE,45.07982,25.38219,RO
johnson.abshire@yahoo.example,Johnson,Abshire,Basic,Invite,1,2020-12-06T15:52:58,2020-12-21T12:00:00,2021-01-01T13:02:18,FALSE,FALSE,FALSE,20.65082,-98.57522,MX
kon.winfield.o@yahoo.example,Winfield,O'Kon,Basic,Invite,1,2020-12-07T03:11:50,2020-12-21T12:00:00,2020-12-20T20:01:13,FALSE,FALSE,FALSE,40.27785,-80.08394,US
johnston.ila@gmail.example,Ila,Johnston,Basic,Twitter,3,2020-12-08T09:00:43,2020-12-22T12:00:00,2020-12-21T20:01:19,FALSE,FALSE,FALSE,37.96427,23.49649,GR
turner.kelley@hotmail.example,Kelley,Turner,Premium,Facebook,5,2020-12-10T18:08:24,2020-12-25T12:00:00,2021-01-05T13:01:45,FALSE,FALSE,FALSE,43.32633,46.36048,RU
shanny-kuvalis@gmail.example,Shanny,Kuvalis,Basic,,3,2020-12-14T11:00:22,2020-12-28T12:00:00,2021-01-07T20:01:12,FALSE,FALSE,FALSE,49.55137,0.45599,FR
maryam-watsica@yahoo.example,Maryam,Watsica,Basic,,16,2020-12-16T19:19:02,2020-12-31T12:00:00,2021-05-30T20:02:00,TRUE,FALSE,FALSE,50.34377,-5.15558,GB
spinka.andreane@yahoo.example,Andreane,Spinka,Basic,Invite,1,2020-12-16T23:27:34,2020-12-31T12:00:00,2020-12-30T20:01:23,FALSE,FALSE,FALSE,35.9109,-92.69949,US
connelly.bessie@hotmail.example,Bessie,Connelly,Basic,Invite,3,2020-12-18T00:36:50,2021-01-01T12:00:00,2020-12-31T20:01:24,FALSE,FALSE,FALSE,55.96815,48.35072,RU
ethyl.little@yahoo.example,Ethyl,Little,Basic,,27,2020-12-18T10:02:51,2021-01-01T12:00:00,2022-05-08T13:05:27,TRUE,FALSE,FALSE,38.99693,-85.62806,US
mann-marquise@gmail.example,Marquise,Mann,Basic,Google,1,2020-12-19T09:08:00,2021-01-02T12:00:00,2021-01-01T20:01:24,FALSE,FALSE,FALSE,38.18268,21.68414,GR
raynor.chasity@gmail.example,Chasity,Raynor,Basic,Google,3,2020-12-20T14:53:09,2021-01-04T12:00:00,2021-01-03T20:01:27,FALSE,FALSE,FALSE,26.04924,-97.74499,US
schneider-jensen@hotmail.example,Jensen,Schneider,Basic,Invite,3,2020-12-21T11:54:02,2021-01-04T12:00:00,2021-01-03T20:01:28,FALSE,FALSE,FALSE,43.74191,-90.7793,US
tiana-parisian@yahoo.example,Tiana,Parisian,Basic,,1,2020-12-25T20:47:13,2021-01-09T12:00:00,2021-01-08T20:01:32,FALSE,FALSE,FALSE,-33.82285,151.00781,AU
bednar.lexie@yahoo.example,Lexie,Bednar,Basic,,111,2020-12-28T09:47:06,2021-01-11T12:00:00,,TRUE,TRUE,FALSE,42.00755,13.27806,IT
brandt-erdman@gmail.example,Brandt,Erdman,Basic,Invite,63,2020-12-29T13:50:44,2021-01-13T12:00:00,2021-05-12T20:01:20,TRUE,FALSE,FALSE,45.66518,9.82916,IT
shanahan-mertie@yahoo.example,Mertie,Shanahan,Basic,Google,1,2021-01-04T18:29:26,2021-01-19T12:00:00,2021-01-18T19:47:25,FALSE,FALSE,FALSE,45.14429,23.38185,RO
towne-gayle@hotmail.example,Gayle,Towne,Basic,Twitter,19,2021-01-05T19:58:01,2021-01-20T12:00:00,2021-01-19T20:01:31,FALSE,FALSE,FALSE,41.88784,2.87524,ES
elena-herman@gmail.example,Elena,Herman,Basic,Invite,12,2021-01-12T10:52:26,2021-01-26T12:00:00,2021-03-25T20:01:24,TRUE,FALSE,FALSE,17.52277778,121.7741667,PH
joana-pfeffer@gmail.example,Joana,Pfeffer,Basic,Twitter,3,2021-01-14T06:45:11,2021-01-28T12:00:00,2021-01-27T20:01:46,FALSE,FALSE,FALSE,51.77667,5.93611,NL
loy.gleichner@yahoo.example,Loy,Gleichner,Basic,Google,1,2021-01-14T11:57:18,2021-01-28T12:00:00,2021-01-27T20:01:46,FALSE,FALSE,FALSE,40.7391,-114.07335,US
jadyn-rice@hotmail.example,Jadyn,Rice,Basic,Facebook,3,2021-01-14T18:39:45,2021-01-29T12:00:00,2021-01-28T20:01:45,FALSE,FALSE,FALSE,18.21801,-66.226,US
elinor.douglas@gmail.example,Elinor,Douglas,Basic,Invite,3,2021-01-20T14:18:51,2021-02-04T12:00:00,2021-03-11T13:06:00,TRUE,FALSE,FALSE,32.86006,53.08749,IR
spinka-donato@yahoo.example,Donato,Spinka,Basic,Invite,3,2021-01-23T00:36:18,2021-02-06T12:00:00,2021-02-05T20:01:58,FALSE,FALSE,FALSE,45.88167,10.59366,IT
maiya-beier@hotmail.example,Maiya,Beier,Basic,Invite,3,2021-01-25T20:16:25,2021-02-09T12:00:00,2022-06-07T15:18:02,TRUE,FALSE,FALSE,50.16667,129.5,RU
joan-langosh@hotmail.example,Joan,Langosh,Premium,,3,2021-01-27T02:32:39,2021-02-10T12:00:00,2021-02-20T20:01:49,FALSE,FALSE,FALSE,9.99625,123.57252,PH
danyka.kunze@hotmail.example,Danyka,Kunze,Basic,,1,2021-01-28T03:35:36,2021-02-11T12:00:00,2021-02-10T20:01:58,FALSE,FALSE,FALSE,34.32333,134.17333,JP
maryam.friesen@yahoo.example,Maryam,Friesen,Basic,Twitter,14,2021-01-29T08:26:16,2021-02-12T12:00:00,2021-11-24T07:19:11,TRUE,FALSE,FALSE,6.64075,124.58258,PH
moen-maymie@yahoo.example,Maymie,Moen,Basic,Google,3,2021-01-29T16:13:59,2021-02-13T12:00:00,2021-02-12T20:02:00,FALSE,FALSE,FALSE,45.70681,20.07928,RS
bianka.crona@gmail.example,Bianka,Crona,Basic,Invite,3,2021-01-29T21:21:27,2021-02-13T12:00:00,2021-03-12T20:01:43,TRUE,FALSE,FALSE,59.66333,10.62975,NO
kling.trevor@gmail.example,Trevor,Kling,Basic,,3,2021-02-02T00:47:13,2021-02-16T12:00:00,2021-02-15T20:01:57,FALSE,FALSE,FALSE,50.15,7.4,DE
nya-hilpert@hotmail.example,Nya,Hilpert,Basic,Facebook,47,2021-02-02T23:00:26,2021-02-17T12:00:00,,TRUE,TRUE,FALSE,8.1263,14.61456,CM
wehner.ramiro@gmail.example,Ramiro,Wehner,Basic,,8,2021-02-03T02:14:01,2021-02-17T12:00:00,2021-03-17T01:52:35,TRUE,FALSE,FALSE,40.97803,-4.77573,ES
raynor.trevion@hotmail.example,Trevion,Raynor,Basic,Google,1,2021-02-03T09:46:27,2021-02-17T12:00:00,2021-02-16T20:02:04,FALSE,FALSE,FALSE,47.28055,8.46008,CH
jennings.brakus@hotmail.example,Jennings,Brakus,Basic,Google,5,2021-02-03T14:15:37,2021-02-18T12:00:00,2021-02-17T20:02:01,FALSE,FALSE,FALSE,52.51395,13.49975,DE
bernhard.kathleen@yahoo.example,Kathleen,Bernhard,Basic,Invite,3,2021-02-03T15:56:13,2021-02-18T12:00:00,2021-02-17T20:02:02,FALSE,FALSE,FALSE,33.00103,-7.61662,MA
stanley.kuphal@gmail.example,Stanley,Kuphal,Basic,Google,3,2021-02-07T12:28:17,2021-02-22T12:00:00,2021-02-21T20:02:02,FALSE,FALSE,FALSE,45.38776,7.99152,IT
joannie.hudson@hotmail.example,Joannie,Hudson,Premium,Twitter,3,2021-02-09T18:55:08,2021-02-24T12:00:00,2021-03-10T20:01:53,FALSE,FALSE,FALSE,20.00898,-97.59606,MX
hahn-tina@yahoo.example,Tina,Hahn,Premium,,142,2021-02-10T22:13:55,2021-02-25T12:00:00,,TRUE,TRUE,FALSE,43.91727,25.46589,RO
ferne-rosenbaum@hotmail.example,Ferne,Rosenbaum,Basic,Twitter,3,2021-02-12T23:32:10,2021-02-27T12:00:00,2021-03-01T17:08:03,FALSE,FALSE,FALSE,45.65184,21.16933,RO
francisco-robel@hotmail.example,Francisco,Robel,Basic,Twitter,3,2021-02-13T21:42:56,2021-02-28T12:00:00,2021-02-27T20:02:13,FALSE,FALSE,FALSE,49.78333,13.66667,CZ
abby.larkin@gmail.example,Abby,Larkin,Basic,Twitter,3,2021-02-15T07:11:11,2021-03-01T12:00:00,2021-02-28T20:02:13,FALSE,FALSE,FALSE,43.72805,4.07991,FR
leone-littel@gmail.example,Leone,Littel,Basic,,16,2021-02-16T06:48:42,2021-03-02T12:00:00,2021-11-15T20:07:23,TRUE,FALSE,FALSE,44.55,23.11667,RO
ivy.koelpin@yahoo.example,Ivy,Koelpin,Basic,Invite,1,2021-02-16T13:27:06,2021-03-03T12:00:00,2021-03-02T20:02:14,FALSE,FALSE,FALSE,49.38547,-1.5331,FR
alexandrine-rosenbaum@gmail.example,Alexandrine,Rosenbaum,Basic,,3,2021-02-17T20:11:11,2021-03-04T12:00:00,2021-03-03T20:02:17,FALSE,FALSE,FALSE,45.13333,25.41667,RO
art-graham@yahoo.example,Art,Graham,Basic,,3,2021-02-18T17:01:29,2021-03-05T12:00:00,2021-03-04T20:02:12,FALSE,FALSE,FALSE,49.55,7.25,DE
rex.smitham@gmail.example,Rex,Smitham,Basic,Google,3,2021-02-20T17:07:56,2021-03-07T12:00:00,2021-03-06T20:02:12,FALSE,FALSE,FALSE,29.72884,-99.76145,US
dennis.parisian@gmail.example,Dennis,Parisian,Basic,Invite,3,2021-02-23T20:05:02,2021-03-10T12:00:00,2021-03-09T20:02:20,FALSE,FALSE,FALSE,42.04713,-8.64435,ES
cronin-marley@yahoo.example,Marley,Cronin,Basic,,14,2021-02-23T20:54:43,2021-03-10T12:00:00,2022-02-17T13:08:00,TRUE,FALSE,FALSE,38.80033,-90.62651,US
okuneva-dorris@yahoo.example,Dorris,Okuneva,Basic,Twitter,1,2021-02-24T09:54:08,2021-03-10T12:00:00,2021-03-12T02:12:22,FALSE,FALSE,FALSE,45.68829,9.43712,IT
jennifer-klocko@hotmail.example,Jennifer,Klocko,Premium,Google,1,2021-02-25T03:53:33,2021-03-11T12:00:00,2021-03-10T20:02:23,FALSE,FALSE,FALSE,52.61443,-1.6985,GB
johnnie-glover@hotmail.example,Johnnie,Glover,Basic,Google,93,2021-02-25T08:08:56,2021-03-11T12:00:00,2021-11-11T13:22:46,TRUE,FALSE,FALSE,52.72306,-6.18944,IE
kenna-walter@hotmail.example,Kenna,Walter,Premium,Facebook,8,2021-02-25T13:40:42,2021-03-12T12:00:00,2021-03-11T21:59:03,FALSE,FALSE,FALSE,15.40247,73.90881,IN
lonnie.beier@hotmail.example,Lonnie,Beier,Basic,Twitter,45,2021-03-01T13:31:51,2021-03-16T12:00:00,,TRUE,TRUE,FALSE,58.15517,7.83576,NO
minnie.cremin@hotmail.example,Minnie,Cremin,Basic,Facebook,3,2021-03-02T01:41:00,2021-03-16T12:00:00,2021-03-16T02:06:15,FALSE,FALSE,FALSE,50.08696,18.26916,PL
leonor.mitchell@gmail.example,Leonor,Mitchell,Premium,Google,3,2021-03-02T13:25:18,2021-03-17T12:00:00,2021-03-16T20:02:27,FALSE,FALSE,FALSE,35.46388889,48.87638889,IR
clay-pfannerstill@gmail.example,Clay,Pfannerstill,Basic,,3,2021-03-02T23:36:32,2021-03-17T12:00:00,2021-03-16T20:02:28,FALSE,FALSE,FALSE,51.1005,0.38967,GB
yvonne.ryan@yahoo.example,Yvonne,Ryan,Basic,,10,2021-03-03T17:23:12,2021-03-18T12:00:00,2022-01-18T14:23:26,TRUE,FALSE,FALSE,43.15154,-4.92102,ES
sydnie-connelly@gmail.example,Sydnie,Connelly,Basic,,3,2021-03-08T12:56:58,2021-03-23T12:00:00,2021-04-22T20:02:13,TRUE,FALSE,FALSE,52.43351,20.61207,PL
jean.christiansen@yahoo.example,Jean,Christiansen,Basic,Invite,23,2021-03-09T06:31:16,2021-03-23T12:00:00,,TRUE,TRUE,FALSE,-32.3358,116.05951,AU
bednar.alden@gmail.example,Alden,Bednar,Premium,,3,2021-03-11T03:40:43,2021-03-25T12:00:00,2021-03-24T20:02:39,FALSE,FALSE,FALSE,48.17317,0.23814,FR
swaniawski-nelle@yahoo.example,Nelle,Swaniawski,Basic,Twitter,3,2021-03-11T12:22:38,2021-03-26T12:00:00,2021-03-25T20:02:34,FALSE,FALSE,FALSE,38.35353,16.288,IT
connelly.tanya@yahoo.example,Tanya,Connelly,Basic,Invite,3,2021-03-12T00:10:38,2021-03-26T12:00:00,2021-03-25T20:02:40,FALSE,FALSE,FALSE,51.64177,39.40863,RU
turner-tommie@hotmail.example,Tommie,Turner,Basic,Twitter,76,2021-03-12T20:23:21,2021-03-27T12:00:00,,TRUE,TRUE,FALSE,20.12322,-97.65417,MX
alanna.lockman@yahoo.example,Alanna,Lockman,Basic,Google,27,2021-03-17T13:02:42,2021-04-01T12:00:00,,TRUE,TRUE,FALSE,-8.66877,-35.16277,BR
bernadette.friesen@hotmail.example,Bernadette,Friesen,Basic,,10,2021-03-18T10:42:32,2021-04-01T12:00:00,2021-03-31T21:52:11,FALSE,FALSE,FALSE,-20.36306,57.73111,MU
nannie-boehm@hotmail.example,Nannie,Boehm,Basic,Facebook,3,2021-03-18T20:06:42,2021-04-02T12:00:00,2021-04-01T20:02:49,FALSE,FALSE,FALSE,49.78225,14.19735,CZ
von-rosina@hotmail.example,Rosina,Von,Basic,Twitter,3,2021-03-18T21:21:28,2021-04-02T12:00:00,2021-04-09T13:05:41,FALSE,FALSE,FALSE,40.16363,-77.26555,US
zboncak.ethyl@hotmail.example,Ethyl,Zboncak,Basic,,1,2021-03-19T01:00:30,2021-04-02T12:00:00,2021-07-05T20:00:44,TRUE,FALSE,FALSE,38.82755,-91.02014,US
lionel.stoltenberg@yahoo.example,Lionel,Stoltenberg,Basic,Invite,5,2021-03-19T07:29:18,2021-04-02T12:00:00,2021-04-01T20:02:53,FALSE,FALSE,FALSE,40.89427,23.75048,GR
jean.zulauf@yahoo.example,Jean,Zulauf,Basic,Facebook,3,2021-03-19T19:14:25,2021-04-03T12:00:00,2021-04-10T13:03:12,FALSE,FALSE,FALSE,49.14289,13.55616,CZ
bednar.blanche@hotmail.example,Blanche,Bednar,Basic,,8,2021-03-19T19:57:29,2021-04-03T12:00:00,2021-04-06T20:02:52,FALSE,FALSE,FALSE,19.56722,-99.59389,MX
crona.emma@yahoo.example,Emma,Crona,Basic,,5,2021-03-21T22:34:50,2021-04-05T12:00:00,2021-09-04T20:05:01,TRUE,FALSE,FALSE,-25.87417,-50.38278,BR
lehner.terry@hotmail.example,Terry,Lehner,Basic,Facebook,5,2021-03-22T04:10:19,2021-04-05T12:00:00,2021-04-04T20:02:54,FALSE,FALSE,FALSE,39.08656,42.27158,TR
alayna.halvorson@hotmail.example,Alayna,Halvorson,Basic,Facebook,23,2021-03-24T10:58:40,2021-04-07T12:00:00,2021-06-06T20:04:03,TRUE,FALSE,FALSE,43.65361,44.88889,RU
burnice-marks@hotmail.example,Burnice,Marks,Basic,Google,5,2021-03-26T02:08:23,2021-04-09T12:00:00,2021-04-08T20:03:05,FALSE,FALSE,FALSE,25.77373,-109.03311,MX
floyd-douglas@gmail.example,Floyd,Douglas,Basic,,3,2021-03-26T15:24:05,2021-04-10T12:00:00,2022-04-08T15:16:37,TRUE,FALSE,FALSE,40.68555556,-7.47166667,PT
tanner-walker@hotmail.example,Tanner,Walker,Basic,,23,2021-03-29T12:58:05,2021-04-13T12:00:00,,TRUE,TRUE,FALSE,50.41667,7.55,DE
dianna-murray@gmail.example,Dianna,Murray,Basic,,3,2021-03-29T15:18:27,2021-04-13T12:00:00,2021-04-19T20:03:03,FALSE,FALSE,FALSE,48.86667,9.03333,DE
johnston.benny@gmail.example,Benny,Johnston,Basic,,14,2021-03-30T06:11:53,2021-04-13T12:00:00,,TRUE,TRUE,FALSE,45.21134,14.55495,HR
rex.boehm@hotmail.example,Rex,Boehm,Basic,Invite,16,2021-03-30T21:41:26,2021-04-14T12:00:00,2021-08-13T20:06:50,TRUE,FALSE,FALSE,47.14372,2.42953,FR
ted-weber@gmail.example,Ted,Weber,Premium,Google,12,2021-04-01T05:24:59,2021-04-15T12:00:00,2021-04-14T23:37:44,FALSE,FALSE,FALSE,37.10224,-7.66202,PT
brennon-gerlach@hotmail.example,Brennon,Gerlach,Basic,Facebook,3,2021-04-07T04:18:37,2021-04-21T12:00:00,2021-08-20T20:05:16,TRUE,FALSE,FALSE,46.59639,15.16722,SI
reyna-greenholt@yahoo.example,Reyna,Greenholt,Basic,Facebook,3,2021-04-07T14:32:27,2021-04-22T12:00:00,2021-04-20T21:56:40,FALSE,FALSE,FALSE,43.13333,24.71667,BG
rey-schumm@hotmail.example,Rey,Schumm,Basic,Twitter,10,2021-04-08T03:16:19,2021-04-22T12:00:00,2021-07-21T20:05:41,TRUE,FALSE,FALSE,49.05779,2.34497,FR
cornell-cartwright@gmail.example,Cornell,Cartwright,Basic,Twitter,71,2021-04-08T14:42:48,2021-04-23T12:00:00,,TRUE,TRUE,FALSE,7.56257,99.74791,TH
towne.angelica@hotmail.example,Angelica,Towne,Basic,Google,3,2021-04-08T17:27:18,2021-04-23T12:00:00,,TRUE,TRUE,FALSE,45.6704,3.1246,FR
lorna.greenholt@yahoo.example,Lorna,Greenholt,Basic,Google,21,2021-04-12T17:19:20,2021-04-27T12:00:00,2022-03-06T13:04:51,TRUE,FALSE,FALSE,38.39977,-91.33071,US
